complaint_id,customer_id,complaint_date,category,resolution_days,satisfaction_score
CP500000,C104932,22-12-2025,Card Issue,11,2
CP500001,C100856,25-02-2026,Service,3,3
CP500002,C101839,29-03-2025,Transaction Issue,13,4
CP500003,C104191,10-12-2025,Card Issue,3,4
CP500004,C102663,26-05-2025,Card Issue,1,5
CP500005,C102753,29-10-2025,Transaction Issue,2,2
CP500006,C101741,27-11-2025,Service,2,4
CP500007,C102883,08-04-2026,Loan Issue,13,5
CP500008,C101011,16-06-2026,Loan Issue,10,5
CP500009,C101036,25-02-2025,Service,2,5
CP500010,C104832,23-06-2026,Transaction Issue,2,5
CP500011,C103992,23-07-2025,Service,6,4
CP500012,C103555,19-02-2026,Service,6,5
CP500013,C101277,24-11-2025,Transaction Issue,2,5
CP500014,C104007,08-11-2025,Service,4,3
CP500015,C101707,08-07-2025,Transaction Issue,6,4
CP500016,C101625,24-09-2025,Fraud/Security,2,5
CP500017,C103609,07-03-2025,Loan Issue,4,5
CP500018,C103315,17-08-2025,Transaction Issue,14,4
CP500019,C101401,25-06-2026,Card Issue,12,3
CP500020,C100102,31-01-2026,Loan Issue,14,5
CP500021,C101609,16-01-2026,Transaction Issue,6,4
CP500022,C101270,30-09-2025,Service,2,5
CP500023,C104672,06-02-2026,Service,14,5
CP500024,C103596,04-01-2026,App/Internet Banking,12,2
CP500025,C102690,09-08-2025,Loan Issue,2,5
CP500026,C104155,03-02-2026,App/Internet Banking,15,5
CP500027,C100439,13-11-2025,Loan Issue,11,4
CP500028,C104195,05-04-2026,Card Issue,5,4
CP500029,C100455,16-11-2025,Card Issue,1,4
CP500030,C102141,19-06-2025,Fraud/Security,4,4
CP500031,C100178,03-10-2025,Loan Issue,,4
CP500032,C102859,17-12-2025,Card Issue,8,4
CP500033,C102830,13-07-2025,Transaction Issue,8,4
CP500034,C104750,28-03-2026,Service,8,4
CP500035,C102901,14-03-2025,Fraud/Security,3,4
CP500036,C101497,27-02-2026,Loan Issue,7,1
CP500037,C104845,30-01-2025,Transaction Issue,5,2
CP500038,C104032,03-01-2026,Fraud/Security,15,5
CP500039,C103944,15-07-2025,App/Internet Banking,9,4
CP500040,C101394,21-07-2025,Loan Issue,4,5
CP500041,C104938,24-04-2025,Card Issue,15,4
CP500042,C101296,08-01-2025,Loan Issue,8,4
CP500043,C104110,10-06-2025,App/Internet Banking,4,3
CP500044,C101981,23-04-2026,Loan Issue,3,4
CP500045,C100127,18-02-2025,Loan Issue,12,4
CP500046,C101845,13-09-2025,Card Issue,1,3
CP500047,C101173,30-04-2025,Transaction Issue,4,2
CP500048,C101980,27-06-2026,Card Issue,10,3
CP500049,C102862,09-01-2026,App/Internet Banking,9,2
CP500050,C102053,30-01-2025,App/Internet Banking,4,3
CP500051,C101096,11-05-2026,Transaction Issue,6,1
CP500052,C100810,15-06-2025,Card Issue,7,1
CP500053,C103985,07-05-2026,Card Issue,13,5
CP500054,C102306,16-12-2025,Loan Issue,10,4
CP500055,C104524,29-06-2025,Card Issue,15,4
CP500056,C100069,19-04-2025,App/Internet Banking,5,4
CP500057,C101139,08-01-2025,Card Issue,10,4
CP500058,C103944,30-07-2025,Transaction Issue,13,4
CP500059,C104707,13-02-2026,Service,7,4
CP500060,C100996,23-02-2025,Service,11,5
CP500061,C100126,12-05-2025,Transaction Issue,13,3
CP500062,C103058,03-04-2025,Service,3,4
CP500063,C101026,14-04-2026,Loan Issue,13,4
CP500064,C101175,25-10-2025,Loan Issue,5,2
CP500065,C102049,26-12-2025,Service,11,4
CP500066,C102025,05-06-2025,Card Issue,13,1
CP500067,C101624,03-09-2025,Transaction Issue,13,5
CP500068,C104199,14-03-2026,Card Issue,2,4
CP500069,C104511,19-03-2025,Card Issue,4,4
CP500070,C104378,16-12-2025,Card Issue,12,1
CP500071,C104312,14-01-2026,App/Internet Banking,2,4
CP500072,C102128,26-04-2026,Card Issue,8,4
CP500073,C100651,05-03-2025,Card Issue,5,1
CP500074,C101820,28-05-2026,App/Internet Banking,7,4
CP500075,C100925,20-10-2025,Service,3,3
CP500076,C100379,13-11-2025,Loan Issue,13,5
CP500077,C101677,22-10-2025,Fraud/Security,11,4
CP500078,C101944,22-01-2026,Service,5,4
CP500079,C104461,24-12-2025,Fraud/Security,15,4
CP500080,C103005,30-03-2025,Card Issue,9,3
CP500081,C103196,31-01-2025,Service,3,3
CP500082,C103627,10-01-2026,Transaction Issue,6,4
CP500083,C103781,25-02-2026,Service,2,4
CP500084,C100162,27-02-2025,Transaction Issue,5,5
CP500085,C100420,24-05-2025,App/Internet Banking,10,1
CP500086,C101218,31-03-2026,App/Internet Banking,14,3
CP500087,C102330,07-10-2025,Transaction Issue,15,2
CP500088,C100656,28-05-2026,Service,5,3
CP500089,C100732,12-12-2025,Card Issue,2,2
CP500090,C104781,08-07-2025,Loan Issue,2,1
CP500091,C101089,03-11-2025,Loan Issue,8,2
CP500092,C100649,20-08-2025,Transaction Issue,13,2
CP500093,C100197,04-11-2025,Loan Issue,2,4
CP500094,C101970,10-12-2025,Card Issue,10,2
CP500095,C102108,29-04-2025,App/Internet Banking,11,4
CP500096,C103750,24-07-2025,Loan Issue,3,4
CP500097,C101641,04-09-2025,Transaction Issue,10,2
CP500098,C104031,28-04-2025,Fraud/Security,13,2
CP500099,C104009,02-02-2025,Loan Issue,9,5
CP500100,C101925,03-09-2025,Service,1,2
CP500101,C100321,13-03-2026,Loan Issue,12,2
CP500102,C104414,12-07-2025,Fraud/Security,9,1
CP500103,C103064,07-07-2025,Loan Issue,9,3
CP500104,C104822,13-02-2026,Service,5,4
CP500105,C102739,27-10-2025,Service,4,3
CP500106,C100566,04-02-2026,Transaction Issue,14,2
CP500107,C102608,16-03-2026,Card Issue,10,1
CP500108,C102854,06-07-2025,Card Issue,10,4
CP500109,C104837,06-07-2025,App/Internet Banking,14,2
CP500110,C100033,10-03-2025,Fraud/Security,7,5
CP500111,C100448,25-05-2026,Service,14,5
CP500112,C103132,09-05-2026,Loan Issue,1,5
CP500113,C104931,14-09-2025,Transaction Issue,15,2
CP500114,C104878,20-03-2026,Service,2,4
CP500115,C100657,20-03-2026,Loan Issue,10,1
CP500116,C103108,24-03-2026,App/Internet Banking,12,3
CP500117,C104237,24-04-2025,Transaction Issue,15,5
CP500118,C102080,12-08-2025,Fraud/Security,13,4
CP500119,C100328,10-03-2026,App/Internet Banking,10,4
CP500120,C104551,16-06-2026,Service,5,4
CP500121,C104729,21-04-2025,Transaction Issue,6,2
CP500122,C104216,10-04-2026,Loan Issue,6,5
CP500123,C101172,21-06-2025,Service,1,4
CP500124,C102075,25-02-2026,Transaction Issue,13,3
CP500125,C101155,11-01-2025,Card Issue,2,5
CP500126,C100353,30-06-2026,App/Internet Banking,12,1
CP500127,C103756,26-02-2025,Loan Issue,4,4
CP500128,C104942,16-08-2025,Card Issue,14,4
CP500129,C103794,15-04-2025,Transaction Issue,9,5
CP500130,C103774,27-04-2026,Card Issue,13,5
CP500131,C103052,15-12-2025,Fraud/Security,9,4
CP500132,C103362,19-08-2025,Service,13,2
CP500133,C103269,20-09-2025,Loan Issue,12,4
CP500134,C104436,14-01-2025,App/Internet Banking,13,4
CP500135,C104716,01-11-2025,Transaction Issue,9,4
CP500136,C101248,15-04-2026,App/Internet Banking,14,4
CP500137,C100132,01-01-2025,Card Issue,5,5
