customer_id,age,gender,city,occupation,annual_income,customer_since,state,income band
C102908,51,Female,Bengaluru,Business Owner,2561400,24-02-2020,Karnataka,High
C101971,42,Male,Delhi,IT Professional,2250900,09-06-2019,Delhi,High
C102209,50,Male,Kolkata,Government Employee,2180800,28-05-2019,West Bengal,High
C101745,46,Female,Pune,Government Employee,2163400,06-12-2024,Maharashtra,High
C103962,39,Male,Delhi,Self Employed,2149500,21-05-2022,Delhi,High
C103674,27,Male,Pune,Self Employed,2112000,08-02-2025,Maharashtra,High
C103257,21,Male,Bengaluru,Government Employee,2043100,15-01-2023,Karnataka,High
C101885,53,Other,Hyderabad,IT Professional,2007900,02-01-2019,Telangana,High
C102968,31,Male,Chennai,Self Employed,1972800,25-03-2022,Tamil Nadu,High
C102626,47,Male,Kolkata,Private Employee,1962100,14-04-2024,West Bengal,High
C101625,34,Male,Bengaluru,Government Employee,1930100,10-04-2023,Karnataka,High
C101222,39,Male,Delhi,IT Professional,1882700,18-08-2025,Delhi,High
C103682,26,Male,Ahmedabad,Student,1876200,30-04-2021,Gujarat,High
C100390,46,Female,Kochi,Private Employee,1859200,27-05-2020,Kerala,High
C102783,42,Male,Chennai,Private Employee,1854800,17-02-2021,Tamil Nadu,High
C102086,35,Female,Jaipur,Government Employee,1838800,26-01-2024,Rajasthan,High
C100224,33,Male,Jaipur,Private Employee,1838000,21-07-2025,Rajasthan,High
C103858,44,Male,Jaipur,IT Professional,1809300,18-05-2023,Rajasthan,High
C100698,21,Male,Ahmedabad,Government Employee,1798300,29-10-2024,Gujarat,High
C102473,21,Female,Bengaluru,Business Owner,1775800,28-05-2024,Karnataka,High
C101992,39,Female,Bengaluru,Private Employee,1773400,07-11-2019,Karnataka,High
C103365,41,Male,Delhi,Private Employee,1764200,02-02-2019,Delhi,High
C101196,43,Female,Hyderabad,Self Employed,1748100,23-07-2023,Telangana,High
C104851,25,Male,Delhi,Government Employee,1732300,06-11-2025,Delhi,High
C101151,34,Male,Hyderabad,Government Employee,1718400,08-12-2019,Telangana,High
C103006,37,Male,Chennai,IT Professional,1716700,10-07-2020,Tamil Nadu,High
C101249,38,Female,Hyderabad,IT Professional,1715900,06-01-2023,Telangana,High
C104364,38,Male,Kolkata,IT Professional,1710200,02-11-2021,West Bengal,High
C101925,23,Female,Ahmedabad,IT Professional,1709100,08-04-2025,Gujarat,High
C102913,39,Male,Bengaluru,IT Professional,1676900,24-07-2021,Karnataka,High
C101770,27,Female,Delhi,Business Owner,1672500,04-11-2019,Delhi,High
C101792,48,Male,Bengaluru,Self Employed,1672200,13-09-2021,Karnataka,High
C104546,37,Male,Chennai,IT Professional,1653500,28-02-2020,Tamil Nadu,High
C104467,30,Male,Kolkata,IT Professional,1647400,02-07-2022,West Bengal,High
C103299,39,Female,Ahmedabad,Other,1636000,10-06-2021,Gujarat,High
C103454,30,Female,Jaipur,Other,1629600,25-05-2023,Rajasthan,High
C100163,47,Male,Hyderabad,Government Employee,1622500,28-01-2024,Telangana,High
C102468,21,Female,Bengaluru,Private Employee,1615300,27-09-2025,Karnataka,High
C100986,46,Female,Jaipur,Government Employee,1607300,01-12-2022,Rajasthan,High
C100918,39,Female,Chennai,Business Owner,1605100,01-01-2025,Tamil Nadu,High
C100159,44,Female,Delhi,IT Professional,1593900,21-06-2024,Delhi,High
C104224,44,Male,Kolkata,Business Owner,1586400,29-05-2020,West Bengal,High
C104409,42,Female,Bengaluru,Private Employee,1576100,24-04-2021,Karnataka,High
C104196,41,Female,Mumbai,Self Employed,1575600,26-10-2019,Maharashtra,High
C103143,48,Female,Ahmedabad,Private Employee,1571800,04-10-2019,Gujarat,High
C104990,46,Male,Chennai,Private Employee,1568300,29-10-2021,Tamil Nadu,High
C102907,44,Male,Delhi,Business Owner,1564400,16-09-2021,Delhi,High
C101015,46,Male,Ahmedabad,Government Employee,1562500,17-04-2022,Gujarat,High
C103638,25,Female,Bengaluru,Government Employee,1558700,19-10-2025,Karnataka,High
C104466,21,Male,Chennai,Self Employed,1551700,15-12-2019,Tamil Nadu,High
C101493,35,Female,Chennai,Other,1548500,15-09-2021,Tamil Nadu,High
C102600,24,Male,Delhi,Government Employee,1545300,12-07-2020,Delhi,High
C103220,43,Female,Delhi,Business Owner,1544900,22-02-2019,Delhi,High
C103240,21,Female,Bengaluru,Government Employee,1523600,06-03-2025,Karnataka,High
C100199,21,Male,Mumbai,Private Employee,1518900,16-11-2025,Maharashtra,High
C100451,31,Male,Bengaluru,Private Employee,1518300,23-01-2021,Karnataka,High
C104824,27,Female,Mumbai,Business Owner,1518000,25-07-2025,Maharashtra,High
C103444,33,Male,Pune,Self Employed,1514500,22-03-2023,Maharashtra,High
C103394,31,Male,Hyderabad,Student,1512600,28-01-2020,Telangana,High
C100696,45,Male,Bengaluru,Business Owner,1507700,25-06-2020,Karnataka,High
C100537,35,Male,Delhi,Business Owner,1505700,01-03-2022,Delhi,High
C101421,31,Female,Pune,Private Employee,1499300,28-03-2023,Maharashtra,High
C103564,41,Male,Jaipur,Student,1493600,06-04-2020,Rajasthan,High
C101343,23,Female,Mumbai,Private Employee,1486300,29-04-2021,Maharashtra,High
C101018,53,Female,Pune,Private Employee,1477400,25-01-2019,Maharashtra,High
C104808,23,Male,Bengaluru,Student,1473200,15-01-2025,Karnataka,High
C100549,45,Male,Bengaluru,IT Professional,1471200,23-01-2021,Karnataka,High
C101602,47,Female,Mumbai,Other,1470600,16-12-2020,Maharashtra,High
C103725,44,Male,Chennai,IT Professional,1468600,25-11-2022,Tamil Nadu,High
C103878,23,Male,Pune,Business Owner,1462000,23-09-2022,Maharashtra,High
C104229,37,Male,Pune,Business Owner,1455200,09-03-2019,Maharashtra,High
C100381,21,Female,Hyderabad,IT Professional,1453800,10-01-2021,Telangana,High
C103757,33,Male,Bengaluru,IT Professional,1449800,26-08-2024,Karnataka,High
C100453,28,Male,Kolkata,Business Owner,1446400,31-03-2019,West Bengal,High
C100987,53,Male,Mumbai,Private Employee,1445600,28-11-2023,Maharashtra,High
C100057,40,Male,Pune,Private Employee,1442600,09-02-2023,Maharashtra,High
C104949,37,Female,Mumbai,Business Owner,1442500,14-07-2021,Maharashtra,High
C101373,36,Female,Mumbai,IT Professional,1442100,28-06-2022,Maharashtra,High
C104219,36,Male,Bengaluru,IT Professional,1441600,24-04-2019,Karnataka,High
C102618,49,Female,Bengaluru,Self Employed,1440400,30-03-2024,Karnataka,High
C104702,51,Female,Bengaluru,Student,1439300,16-09-2023,Karnataka,High
C104057,47,Male,Chennai,Private Employee,1435800,11-07-2025,Tamil Nadu,High
C103953,32,Male,Jaipur,Self Employed,1428800,27-08-2022,Rajasthan,High
C102785,28,Male,Bengaluru,Business Owner,1427700,05-05-2023,Karnataka,High
C101337,34,Male,Mumbai,Private Employee,1423700,09-11-2021,Maharashtra,High
C103213,44,Female,Bengaluru,Student,1415600,19-01-2023,Karnataka,High
C104757,34,Male,Delhi,Business Owner,1414800,26-06-2022,Delhi,High
C102122,35,Male,Hyderabad,Private Employee,1412500,04-11-2022,Telangana,High
C103167,25,Female,Chennai,Student,1412000,19-02-2025,Tamil Nadu,High
C104110,22,Male,Ahmedabad,Private Employee,1411700,09-05-2024,Gujarat,High
C104561,32,Female,Delhi,Self Employed,1411300,26-12-2024,Delhi,High
C102239,21,Female,Kolkata,Private Employee,1410800,29-06-2023,West Bengal,High
C102400,30,Female,Hyderabad,Government Employee,1409600,21-04-2022,Telangana,High
C101827,38,Male,Ahmedabad,Self Employed,1406200,05-02-2023,Gujarat,High
C101324,21,Female,Kolkata,Self Employed,1405500,03-06-2021,West Bengal,High
C102938,42,Male,Kolkata,Private Employee,1403200,01-06-2025,West Bengal,High
C101227,21,Female,Hyderabad,IT Professional,1400300,15-07-2022,Telangana,High
C100941,35,Female,Delhi,Government Employee,1398300,25-05-2025,Delhi,High
C104157,48,Male,Chennai,IT Professional,1395500,26-02-2022,Tamil Nadu,High
C103720,32,Male,Pune,Government Employee,1392300,23-04-2019,Maharashtra,High
C104063,31,Male,Ahmedabad,Student,1388200,05-12-2019,Gujarat,High
C103618,36,Female,Kolkata,Business Owner,1384600,05-12-2022,West Bengal,High
C103217,32,Male,Pune,Business Owner,1383700,09-06-2019,Maharashtra,High
C102957,32,Male,Mumbai,Self Employed,1381700,04-02-2022,Maharashtra,High
C104287,30,Female,Ahmedabad,IT Professional,1377200,31-03-2019,Gujarat,High
C104518,46,Male,Delhi,IT Professional,1377000,12-09-2023,Delhi,High
C101457,29,Male,Pune,Government Employee,1376400,06-07-2021,Maharashtra,High
C104396,45,Male,Jaipur,IT Professional,1374500,18-11-2020,Rajasthan,High
C103680,34,Female,Chennai,Private Employee,1374400,21-04-2024,Tamil Nadu,High
C103964,38,Male,Mumbai,Business Owner,1372700,26-10-2021,Maharashtra,High
C102231,25,Male,Delhi,Business Owner,1371400,31-05-2022,Delhi,High
C102106,38,Female,Delhi,Other,1369700,09-09-2021,Delhi,High
C103323,28,Female,Delhi,Self Employed,1369100,23-06-2020,Delhi,High
C100196,45,Female,Jaipur,IT Professional,1367100,31-08-2020,Rajasthan,High
C100811,30,Male,Bengaluru,Private Employee,1365700,13-05-2025,Karnataka,High
C101623,51,Female,Kochi,Business Owner,1365200,28-08-2021,Kerala,High
C100437,36,Male,Jaipur,Private Employee,1360800,15-04-2024,Rajasthan,High
C101181,21,Female,Bengaluru,IT Professional,1355800,10-02-2020,Karnataka,High
C101030,37,Male,Kolkata,Student,1351600,01-02-2023,West Bengal,High
C103052,34,Male,Delhi,Other,1346500,30-09-2021,Delhi,High
C103765,25,Male,Jaipur,Other,1344600,31-01-2023,Rajasthan,High
C103187,29,Female,Bengaluru,Business Owner,1344000,27-06-2025,Karnataka,High
C101120,37,Female,Bengaluru,Business Owner,1337000,24-10-2023,Karnataka,High
C102942,42,Male,Kolkata,IT Professional,1330500,02-10-2025,West Bengal,High
