customer_id,acount_id,acount_type,balance,credit_limit
C100000,A200000,Current,271260.53,372809.12
C100001,A200001,Savings,180680.94,0
C100002,A200002,Savings,92064.49,50000
C100003,A200003,Current,144249.16,209312.14
C100004,A200004,Salary,16903.24,0
C100005,A200005,Salary,72922.11,0
C100006,A200006,Salary,59229.06,0
C100007,A200007,Savings,125388.26,50000
C100008,A200008,Savings,108320.28,0
C100009,A200009,Savings,70739.75,0
C100010,A200010,Savings,33146.18,0
C100011,A200011,Salary,65087.04,0
C100012,A200012,Salary,137584.76,50000
C100013,A200013,Savings,244667.24,0
C100014,A200014,Salary,166941.27,0
C100015,A200015,Savings,195339.8,0
C100016,A200016,Savings,158042.9,50000
C100017,A200017,Savings,221060.34,50000
C100018,A200018,Savings,434613.97,0
C100019,A200019,Savings,246826.85,0
C100020,A200020,Savings,182316.48,0
C100021,A200021,Savings,272116.1,0
C100022,A200022,Savings,1000,0
C100023,A200023,Current,168277.24,168572.14
C100024,A200024,Savings,127699.6,50000
C100025,A200025,Premium,129102.94,96068.57
C100026,A200026,Salary,74656.72,0
C100027,A200027,Premium,52270.73,254257.97
C100028,A200028,Current,145364.27,277366.44
C100029,A200029,Salary,123696.35,0
C100030,A200030,Savings,191108.44,0
C100031,A200031,Salary,31470.71,0
C100032,A200032,Savings,198003.95,0
C100033,A200033,Savings,144478.13,0
C100034,A200034,Savings,20097.5,0
C100035,A200035,Savings,72867.79,0
C100036,A200036,Savings,42532.55,0
C100037,A200037,Premium,320051.75,364557.58
C100038,A200038,Savings,175481.94,0
C100039,A200039,Salary,120154.94,0
C100040,A200040,Savings,132554.65,0
C100041,A200041,Salary,84811.81,0
C100042,A200042,Salary,261299.58,50000
C100043,A200043,Current,137715.4,178208.76
C100044,A200044,Savings,147428.86,0
C100045,A200045,Salary,203706.66,50000
C100046,A200046,Savings,202595.75,0
C100047,A200047,Current,109324.33,117839.26
C100048,A200048,Current,150070.8,139229.97
C100049,A200049,Savings,71121,50000
C100050,A200050,Savings,112347.69,0
C100051,A200051,Savings,67673.08,0
