customer_id,monthly_txn_avg,last_transaction_date,complaint_count,login_frequency_monthly,churn_probability,churn_flag,Risk_Segment
C100000,1.1,21-06-2026,0,17,0.135,No,Low Risk
C100001,1,02-03-2026,1,14,0.16,No,Medium Risk
C100002,0.6,29-04-2026,0,6,0.135,No,Low Risk
C100003,1.1,30-06-2026,2,3,0.195,Yes,Medium Risk
C100004,0.8,24-06-2026,1,4,0.135,Yes,Medium Risk
C100005,0.9,15-06-2026,1,5,0.135,No,Medium Risk
C100006,0.7,26-06-2026,0,4,0.135,No,Low Risk
C100007,0.8,10-05-2026,1,10,0.135,No,Medium Risk
C100008,0.5,03-02-2026,1,12,0.16,No,Medium Risk
C100009,0.6,18-06-2026,1,13,0.135,No,Medium Risk
C100010,1.2,19-06-2026,1,3,0.17,Yes,Medium Risk
C100011,1.1,29-06-2026,0,11,0.135,No,Low Risk
C100012,0.7,30-06-2026,0,8,0.135,No,Low Risk
C100013,1.2,11-05-2026,1,12,0.135,No,Medium Risk
C100014,0.9,18-06-2026,2,11,0.16,No,Medium Risk
C100015,0.7,08-06-2026,1,8,0.135,Yes,Medium Risk
C100016,1.1,24-06-2026,0,9,0.135,Yes,Low Risk
C100017,0.9,14-05-2026,0,8,0.135,No,Low Risk
C100018,0.7,29-06-2026,1,16,0.135,No,Medium Risk
C100019,1,30-06-2026,0,6,0.135,No,Low Risk
C100020,1.1,16-06-2026,1,11,0.135,No,Medium Risk
C100021,1.1,16-06-2026,0,3,0.17,No,Low Risk
C100022,0.9,12-06-2026,1,13,0.135,No,Medium Risk
C100023,0.8,23-05-2026,1,4,0.135,Yes,Medium Risk
C100024,1.2,11-05-2026,1,20,0.135,No,Medium Risk
C100025,0.9,26-06-2026,1,11,0.135,No,Medium Risk
C100026,1.1,19-05-2026,2,9,0.16,No,Medium Risk
C100027,0.7,28-06-2026,0,7,0.135,No,Low Risk
C100028,0.8,14-06-2026,1,8,0.135,No,Medium Risk
C100029,1.2,21-05-2026,0,11,0.135,Yes,Low Risk
C100030,1.2,03-06-2026,0,14,0.135,No,Low Risk
C100031,1.2,17-06-2026,0,14,0.135,No,Low Risk
C100032,1.1,30-06-2026,0,8,0.135,No,Low Risk
C100033,0.7,21-05-2026,2,3,0.195,No,Medium Risk
C100034,1.1,07-05-2026,0,12,0.135,No,Low Risk
C100035,0.5,28-12-2025,0,9,0.16,No,Low Risk
C100036,0.9,02-05-2026,1,7,0.135,Yes,Medium Risk
C100037,0.8,26-05-2026,1,6,0.135,Yes,Medium Risk
C100038,0.7,04-06-2026,3,15,0.16,No,Medium Risk
C100039,1.1,18-06-2026,0,9,0.135,No,Low Risk
C100040,1.1,26-06-2026,1,4,0.135,No,Medium Risk
C100041,0.8,29-06-2026,2,13,0.16,No,Medium Risk
C100042,0.6,25-06-2026,0,11,0.135,No,Low Risk
C100043,1,26-06-2026,2,5,0.16,No,Medium Risk
C100044,0.6,15-05-2026,1,8,0.135,No,Medium Risk
C100045,1,16-06-2026,4,4,0.16,No,Medium Risk
C100046,0.9,18-06-2026,1,7,0.135,No,Medium Risk
C100047,1,24-06-2026,1,7,0.135,No,Medium Risk
C100048,0.9,11-06-2026,2,15,0.16,No,Medium Risk
C100049,0.7,18-05-2026,2,6,0.16,No,Medium Risk
C100050,1.1,09-05-2026,2,1,0.195,Yes,Medium Risk
C100051,0.6,17-01-2026,0,12,0.16,No,Low Risk
C100052,1.3,18-06-2026,0,13,0.135,No,Low Risk
C100053,0.6,22-04-2026,2,11,0.16,No,Medium Risk
C100054,0.9,13-06-2026,0,15,0.135,No,Low Risk
C100055,0.9,18-06-2026,1,7,0.135,Yes,Medium Risk
C100056,0.4,11-05-2026,1,8,0.135,No,Medium Risk
C100057,0.8,23-06-2026,2,4,0.16,No,Medium Risk
C100058,0.7,25-06-2026,2,8,0.16,Yes,Medium Risk
C100059,0.6,09-01-2026,2,9,0.185,Yes,Medium Risk
C100060,1.1,26-06-2026,0,6,0.135,No,Low Risk
C100061,1.4,16-06-2026,0,5,0.135,No,Low Risk
C100062,0.7,19-03-2026,2,13,0.185,No,Medium Risk
C100063,1.3,18-06-2026,0,11,0.135,No,Low Risk
C100064,0.6,21-06-2026,3,7,0.16,No,Medium Risk
C100065,0.8,07-06-2026,3,10,0.16,No,Medium Risk
C100066,0.9,24-03-2026,0,10,0.16,No,Low Risk
C100067,0.9,08-05-2026,2,15,0.16,Yes,Medium Risk
C100068,1,13-06-2026,1,5,0.135,No,Medium Risk
C100069,1.2,27-05-2026,1,10,0.135,No,Medium Risk
C100070,0.8,19-06-2026,0,4,0.135,Yes,Low Risk
C100071,1.4,01-06-2026,1,7,0.135,No,Medium Risk
C100072,0.9,02-06-2026,2,9,0.16,No,Medium Risk
C100073,1.3,20-06-2026,1,9,0.135,No,Medium Risk
C100074,0.8,15-06-2026,0,10,0.135,Yes,Low Risk
C100075,0.8,21-04-2026,1,11,0.135,No,Medium Risk
C100076,1.3,21-06-2026,1,9,0.135,No,Medium Risk
C100077,0.7,06-06-2026,0,12,0.135,No,Low Risk
C100078,0.7,27-06-2026,1,10,0.135,No,Medium Risk
C100079,1.4,30-06-2026,1,13,0.135,No,Medium Risk
C100080,0.9,15-06-2026,0,7,0.135,Yes,Low Risk
C100081,0.7,29-06-2026,1,6,0.135,No,Medium Risk
C100082,1.1,07-06-2026,0,5,0.135,Yes,Low Risk
C100083,0.6,04-06-2026,3,16,0.16,No,Medium Risk
C100084,1,15-05-2026,1,8,0.135,No,Medium Risk
C100085,0.8,28-04-2026,0,11,0.135,No,Low Risk
C100086,1.2,21-06-2026,0,6,0.135,No,Low Risk
C100087,0.9,29-03-2026,0,5,0.16,Yes,Low Risk
C100088,0.8,17-05-2026,2,17,0.16,No,Medium Risk
C100089,0.5,03-04-2026,0,11,0.135,No,Low Risk
C100090,1.3,11-05-2026,2,13,0.16,No,Medium Risk
C100091,0.8,29-06-2026,0,4,0.135,No,Low Risk
C100092,0.6,17-05-2026,1,8,0.135,No,Medium Risk
C100093,0.9,18-05-2026,3,13,0.16,No,Medium Risk
C100094,0.4,07-04-2026,0,9,0.135,Yes,Low Risk
C100095,1.5,30-06-2026,1,8,0.135,No,Medium Risk
C100096,0.8,28-06-2026,2,6,0.16,No,Medium Risk
C100097,1,29-06-2026,1,6,0.135,No,Medium Risk
C100098,1.1,30-06-2026,0,1,0.17,No,Low Risk
C100099,0.8,13-05-2026,1,11,0.135,No,Medium Risk
C100100,0.9,30-06-2026,1,11,0.135,No,Medium Risk
C100101,1.1,11-04-2026,2,12,0.16,No,Medium Risk
C100102,0.7,20-05-2026,1,8,0.135,Yes,Medium Risk
