loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,loan_date
L400000,C102773,Home,466111.81,10.19,Active,18-02-2026
L400001,C100674,Personal,186097.32,12.42,Active,17-04-2024
L400002,C102878,Business,353072.46,7.47,Active,21-01-2026
L400003,C102550,Home,1205723.99,13.22,Closed,06-01-2026
L400004,C104605,Business,632735.06,11.43,Active,18-06-2024
L400005,C103610,Personal,312650.13,11.77,Rejected,14-03-2023
L400006,C100951,Home,608436.97,8.2,Active,25-04-2023
L400007,C102328,Home,700054.89,14.24,Active,02-11-2024
L400008,C103172,Business,149573.35,8.07,Closed,26-03-2023
L400009,C101996,Home,296661.14,11.65,Active,02-02-2023
L400010,C104703,Education,257117.44,9.78,Closed,23-04-2026
L400011,C104354,Personal,1438119.57,15.39,Active,18-09-2023
L400012,C102521,Home,258858.11,7.42,Closed,17-04-2026
L400013,C100249,Home,163934.81,13.22,Closed,23-01-2023
L400014,C104796,Home,376347.43,10.98,Defaulted,08-11-2023
L400015,C103008,Business,207869.86,12.27,Active,22-09-2025
L400016,C102478,Education,339161.29,11.17,Rejected,02-07-2025
L400017,C103688,Home,671771.61,12.49,Active,16-11-2024
L400018,C103516,Home,112592.73,7.55,Closed,26-12-2025
L400019,C101220,Business,601920.06,12.69,Active,22-05-2025
L400020,C104242,Business,1124551.41,12.91,Active,17-10-2024
L400021,C104066,Personal,202669.47,7.9,Active,06-06-2025
L400022,C104996,Auto,354254.39,8.79,Closed,05-06-2024
L400023,C104199,Home,1374073.33,11.57,Rejected,19-06-2024
L400024,C104448,Education,136757.42,14.59,Closed,01-04-2026
L400025,C102502,Home,770522.11,8.99,Closed,25-10-2024
L400026,C102814,Home,86419.64,12.76,Closed,19-12-2023
L400027,C104413,Personal,294457.79,9.54,Active,29-05-2026
L400028,C103034,Personal,995777.74,11.45,Active,09-04-2024
L400029,C104626,Business,450112.73,8.82,Rejected,19-07-2025
L400030,C104461,Personal,808553.26,14.3,Rejected,24-04-2026
L400031,C104745,Auto,532647.79,14.78,Closed,04-03-2025
L400032,C104834,Personal,781680.7,12.13,Closed,27-11-2024
L400033,C101939,Personal,188807.4,11.16,Rejected,11-01-2024
L400034,C104097,Business,282392.59,14.23,Active,25-06-2024
L400035,C103410,Education,245953.26,14.34,Closed,04-06-2026
L400036,C101972,Personal,738269.33,14.26,Active,10-05-2025
L400037,C101103,Auto,329430.3,15.13,Closed,07-05-2025
L400038,C103654,Education,65845.3,7.36,Active,21-08-2024
L400039,C101789,Personal,577065.79,14.39,Active,31-10-2025
L400040,C101694,Personal,398417.48,13.25,Active,20-01-2026
L400041,C102892,Personal,390799.84,7.01,Defaulted,19-12-2024
L400042,C102769,Business,187313.59,10.07,Active,22-12-2024
L400043,C100030,Home,203723.74,7.66,Closed,30-03-2024
L400044,C101068,Personal,3034228.65,7.35,Active,09-05-2026
L400045,C103304,Home,202767.54,7.18,Rejected,15-07-2024
L400046,C103043,Education,1626093.19,12.02,Active,13-05-2026
L400047,C102547,Business,759457.85,9.19,Active,28-07-2024
L400048,C101922,Home,1090236.87,9.5,Closed,31-03-2025
L400049,C102323,Home,136208.13,8.92,Active,20-02-2024
L400050,C101161,Auto,1085973.28,9.11,Active,27-08-2025
L400051,C102606,Home,177566.25,11.27,Closed,14-04-2026
L400052,C100976,Personal,679871.28,13.53,Active,06-05-2025
L400053,C100061,Personal,209129.41,10.67,Active,16-07-2023
L400054,C103206,Home,544897.22,7.01,Rejected,05-06-2023
L400055,C101080,Personal,933917.93,8.72,Active,20-07-2023
L400056,C104199,Business,557753.8,12.18,Closed,27-08-2024
L400057,C100305,Home,359502.5,14.95,Closed,20-09-2024
L400058,C100005,Education,237347.89,12.5,Active,23-05-2024
L400059,C104159,Personal,697327.02,10.53,Active,01-09-2024
L400060,C101514,Auto,494219.33,10.86,Closed,22-09-2023
L400061,C101006,Education,922677.48,12.15,Closed,12-10-2023
L400062,C104495,Auto,185048.18,13.73,Rejected,23-05-2026
L400063,C103281,Education,2518653.79,9.03,Active,06-11-2024
L400064,C101707,Auto,495029.24,9.42,Active,31-01-2024
L400065,C102244,Home,239178.04,15.48,Rejected,04-09-2023
L400066,C100691,Personal,352460.74,11.15,Rejected,13-07-2024
L400067,C103378,Personal,386030.61,10.33,Active,12-08-2024
L400068,C102989,Auto,712083.53,15.37,Closed,09-06-2024
L400069,C104016,Personal,656130.38,11.37,Rejected,24-10-2023
L400070,C104813,Personal,268854.17,9.32,Active,17-05-2024
L400071,C104883,Business,263331.69,13.56,Rejected,13-02-2023
L400072,C103500,Education,1957799.39,11.51,Active,30-12-2023
L400073,C100119,Personal,430760.43,11.32,Closed,20-08-2024
L400074,C104908,Personal,119014.34,11,Active,24-05-2023
L400075,C102876,Home,725379.72,10.05,Rejected,24-01-2024
L400076,C100703,Auto,181675.94,13.78,Rejected,22-01-2024
L400077,C104944,Personal,396826.92,14.96,Closed,16-02-2026
L400078,C104322,Personal,307441.98,9.71,Active,02-02-2025
L400079,C100068,Education,249660.78,14.58,Active,18-05-2026
L400080,C104282,Business,410717.1,13.31,Active,27-11-2023
L400081,C104886,Personal,543156.85,7.29,Closed,17-05-2026
L400082,C103876,Business,813786.27,13.52,Active,22-03-2024
L400083,C102156,Education,524340.86,7.05,Active,12-11-2023
L400084,C102662,Personal,658805.39,10.73,Closed,29-06-2025
L400085,C104124,Business,871222.49,14.89,Closed,17-06-2026
L400086,C100020,Business,393831.75,11.81,Active,20-09-2024
L400087,C100842,Auto,5000000,12.45,Active,13-10-2025
L400088,C100928,Home,528567.86,13.8,Closed,03-10-2024
L400089,C100327,Personal,781621.59,7.69,Defaulted,21-03-2025
L400090,C101472,Home,383023.04,8.78,Closed,07-06-2024
L400091,C104201,Personal,184293.83,8.13,Active,19-09-2025
L400092,C103691,Home,174004.06,11.72,Active,26-10-2025
L400093,C101499,Home,537586.02,13.99,Active,12-12-2024
L400094,C104985,Personal,117714.19,7.22,Active,22-11-2025
L400095,C102594,Auto,424342.05,14.63,Active,22-04-2025
L400096,C103289,Home,304906.12,9.34,Closed,15-08-2025
L400097,C100734,Business,1362715.04,14.94,Closed,13-08-2024
L400098,C104830,Personal,383123.46,8.01,Active,04-08-2025
L400099,C103819,Business,204621.18,14.42,Active,07-03-2025
L400100,C104955,Home,189063.99,13.35,Rejected,23-12-2025
L400101,C101711,Auto,351098.2,9.43,Active,07-06-2025
L400102,C104502,Business,254009.52,15.45,Active,12-02-2026
L400103,C102648,Business,711210.18,10.56,Active,11-05-2023
L400104,C101896,Auto,642326.99,8.18,Closed,07-07-2024
L400105,C102413,Personal,640712.33,10.21,Closed,20-11-2025
L400106,C101831,Business,598342.56,12.96,Closed,12-06-2024
L400107,C104744,Education,305123.79,11.31,Active,23-08-2024
L400108,C101793,Home,790911.38,7.27,Active,25-07-2023
L400109,C104852,Education,191938.3,11.46,Active,10-06-2025
L400110,C104217,Personal,737530.45,11.6,Closed,20-12-2023
L400111,C100903,Personal,524231.7,13.11,Defaulted,09-11-2025
L400112,C103675,Business,804570.9,14.16,Closed,15-02-2024
L400113,C102376,Business,385358.39,11.96,Active,25-01-2024
L400114,C101345,Home,365806.29,7.83,Closed,03-01-2024
L400115,C100209,Personal,326950.37,12.74,Active,12-09-2025
L400116,C102631,Education,383925.4,13.96,Closed,13-09-2023
L400117,C100156,Home,720081.21,15.26,Rejected,10-10-2023
L400118,C101343,Auto,293285.33,9.31,Active,13-02-2024
L400119,C103395,Home,494899.53,11.29,Active,27-06-2026
L400120,C104614,Business,302973.04,10.56,Rejected,14-12-2025
L400121,C101108,Personal,1706941.51,9.87,Active,22-05-2024
L400122,C104025,Personal,338268.41,12.85,Active,13-11-2024
L400123,C102867,Auto,3218182.15,11.82,Active,05-09-2025
L400124,C103073,Auto,1047375.56,10.5,Active,30-11-2024
L400125,C102979,Auto,1122672.31,15.35,Rejected,27-01-2025
L400126,C104527,Personal,250441.48,15.3,Closed,15-12-2023
L400127,C104279,Auto,1088587.72,11.53,Active,22-01-2023
L400128,C100341,Personal,278607.25,12.1,Active,09-12-2024
L400129,C101898,Personal,588126.91,8.66,Closed,11-07-2024
L400130,C101057,Auto,623682.38,12.56,Active,19-07-2025
L400131,C100226,Education,874869.87,8.74,Closed,19-10-2024
L400132,C104752,Home,998393.58,9.28,Closed,17-06-2024
L400133,C104959,Home,493594.99,10.87,Rejected,10-07-2024
L400134,C101071,Personal,424833.52,14.52,Active,14-01-2025
L400135,C101426,Education,1260262.93,8.26,Closed,31-07-2024
L400136,C103993,Auto,263961.77,13.89,Active,23-08-2023
L400137,C100096,Personal,792744.99,14.23,Active,21-03-2024
L400138,C101834,Personal,404809.6,13.28,Closed,12-01-2023
L400139,C103888,Auto,462495.71,12.41,Closed,20-05-2024
L400140,C100312,Personal,705329.94,15.48,Active,24-06-2026
L400141,C102234,Business,293585.79,9.59,Active,31-10-2023
L400142,C103010,Personal,1090629.04,10.98,Closed,05-01-2024
L400143,C103433,Personal,201084.4,7.61,Closed,16-11-2023
L400144,C100298,Personal,1595651.94,14.05,Closed,06-06-2026
L400145,C101011,Business,976563.08,12.56,Rejected,18-02-2024
L400146,C100179,Personal,559885.53,15.21,Closed,15-01-2026
L400147,C101766,Home,207719.43,15.01,Active,08-10-2024
L400148,C104152,Personal,542686.89,12.91,Active,04-03-2023
L400149,C100546,Business,767397.78,14,Rejected,18-06-2024
L400150,C103603,Home,256704.01,10.2,Active,24-01-2025
L400151,C101804,Business,465423.37,11.29,Closed,17-08-2024
L400152,C103613,Business,803467.27,13.15,Active,27-04-2026
L400153,C101026,Personal,809425.45,12.14,Rejected,13-06-2026
L400154,C103980,Auto,574084.82,7.14,Closed,07-09-2025
L400155,C101888,Auto,207779.28,11.97,Active,23-04-2025
L400156,C100111,Business,195270.55,12.39,Rejected,10-10-2025
L400157,C102051,Auto,191938.72,10.1,Closed,26-06-2023
L400158,C100152,Auto,1845046.87,11.28,Active,12-07-2025
L400159,C102102,Business,492012.24,7.92,Active,13-04-2025
L400160,C103767,Home,376602.45,9.62,Closed,10-05-2023
L400161,C102568,Personal,540888.32,14.27,Active,16-06-2026
L400162,C103905,Business,448102.51,8.7,Rejected,19-04-2023
L400163,C100114,Personal,472229.4,15.3,Active,23-05-2026
L400164,C101128,Auto,1037224.04,8.57,Closed,15-01-2024
L400165,C103825,Education,247233.82,8.06,Closed,30-04-2025
L400166,C100705,Personal,841641.02,9.55,Active,30-04-2026
L400167,C101503,Home,307930.62,7.73,Closed,04-02-2025
L400168,C100035,Auto,834894.18,14.53,Active,01-05-2023
L400169,C102486,Personal,200757.25,7.38,Closed,18-08-2024
L400170,C100731,Personal,245443.74,14.69,Closed,23-03-2023
L400171,C101721,Personal,146356.04,7.12,Closed,29-05-2023
